Daily Summary
Month/Year: 03/2015
Station Location: LA GUARDIA AIRPORT (14732)
Lat: 40.779
Lon: -73.880
Elev: 11 ft. above sea level
WBAN,YearMonthDay,Tmax,TmaxFlag,Tmin,TminFlag,Tavg,TavgFlag,Depart,DepartFlag,DewPoint,DewPointFlag,WetBulb,WetBulbFlag,Heat,HeatFlag,Cool,CoolFlag,Sunrise,SunriseFlag,Sunset,SunsetFlag,CodeSum,CodeSumFlag,Depth,DepthFlag,Water1,Water1Flag,SnowFall,SnowFallFlag,PrecipTotal,PrecipTotalFlag,StnPressure,StnPressureFlag,SeaLevel,SeaLevelFlag,ResultSpeed,ResultSpeedFlag,ResultDir,ResultDirFlag,AvgSpeed,AvgSpeedFlag,Max5Speed,Max5SpeedFlag,Max5Dir,Max5DirFlag,Max2Speed,Max2SpeedFlag,Max2Dir,Max2DirFlag
14732,20150314,51, ,37, ,44, , 2, ,41, ,44, ,21, , 0, ,0609, ,1801, ,RA DZ BR, ,0, ,M, ,0.0, ,1.02, ,29.99, ,29.96, , 5.3, ,21, ,8.1, ,22, ,300, ,16, ,300, 
14732,20150315,47, ,37, ,42, , 0, ,28, ,36, ,23, , 0, ,0608, ,1802, ,RA, ,0, ,M, ,0.0, ,  T, ,29.75, ,29.81, ,17.8, ,31, ,18.4, ,46, ,320, ,33, ,320, 
14732,20150316,51, ,36, ,44, , 2, ,27, ,36, ,21, , 0, ,0606, ,1803, , , ,0, ,M, ,0.0, ,0.00, ,29.91, ,29.92, , 3.4, ,28, ,7.1, ,22, ,320, ,18, ,310, 
14732,20150317,54, ,34, ,44, , 1, ,29, ,39, ,21, , 0, ,0604, ,1804, ,RA, ,0, ,M, ,0.0, ,0.01, ,29.64, ,29.69, ,15.7, ,31, ,17.6, ,51, ,310, ,38, ,310, 
14732,20150318,38, ,28, ,33, ,-10, ,12, ,26, ,32, , 0, ,0603, ,1805, ,SN, ,0, ,M, ,  T, ,  T, ,29.99, ,30.05, ,18.0, ,32, ,18.7, ,40, ,320, ,32, ,320, 
14732,20150319,42, ,29, ,36, ,-7, ,7, ,27, ,29, , 0, ,0601, ,1806, , , ,0, ,M, ,0.0, ,0.00, ,30.24, ,30.29, ,11.0, ,32, ,11.9, ,26, ,320, ,21, ,320, 
14732,20150320,38, ,29, ,34, ,-9, ,19, ,28, ,31, , 0, ,0559, ,1807, ,FZDZ SN FG+ FZFG BR, ,0, ,M, ,4.6, ,0.28, ,30.24, ,30.26, ,10.5, ,06, ,11.2, ,28, ,060, ,21, ,040, 
14732,20150321,48, ,29, ,39, ,-5, ,30, ,35, ,26, , 0, ,0558, ,1808, ,FZDZ SN BR HZ, ,4, ,M, ,0.1, ,0.01, ,29.98, ,29.99, , 5.2, ,29, ,7.7, ,30, ,310, ,24, ,300, 
14732,20150322,44, ,28, ,36, ,-8, ,13, ,29, ,29, , 0, ,0556, ,1809, , , ,0, ,M, ,0.0, ,0.00, ,29.99, ,30.05, ,15.5, ,31, ,16.1, ,31, ,300, ,24, ,330, 
14732,20150323,38, ,24, ,31, ,-13, ,7, ,24, ,34, , 0, ,0554, ,1810, , , ,0, ,M, ,0.0, ,0.00, ,30.18, ,30.22, ,13.2, ,32, ,13.8, ,30, ,320, ,24, ,320, 
14732,20150324,44, ,26, ,35, ,-10, ,12, ,28, ,30, , 0, ,0553, ,1812, , , ,0, ,M, ,0.0, ,0.00, ,30.28, ,30.33, , 3.7, ,01, ,6.2, ,17, ,360, ,14, ,360, 
14732,20150325,48, ,32, ,40, ,-5, ,27, ,35, ,25, , 0, ,0551, ,1813, ,RA DZ BR, ,0, ,M, ,0.0, ,0.05, ,30.32, ,30.32, , 5.7, ,15, ,7.4, ,24, ,190, ,21, ,160, 
14732,20150326,57, ,38, ,48, , 3, ,44, ,46, ,17, , 0, ,0549, ,1814, ,RA BR HZ, ,0, ,M, ,0.0, ,0.24, ,29.83, ,29.82, , 1.0, ,14, ,6.7, ,22, ,360, ,18, ,350, 
14732,20150327,46, ,40, ,43, ,-3, ,32, ,39, ,22, , 0, ,0548, ,1815, ,RA, ,0, ,M, ,0.0, ,0.28, ,29.70, ,29.74, , 8.2, ,34, ,8.6, ,28, ,310, ,22, ,320, 
14732,20150328,41, ,27, ,34, ,-12, ,22, ,30, ,31, , 0, ,0546, ,1816, ,SN, ,0, ,M, ,  T, ,  T, ,29.82, ,29.88, ,13.8, ,34, ,14.3, ,31, ,320, ,24, ,330, 
14732,20150329,46, ,27, ,37, ,-9, ,9, ,28, ,28, , 0, ,0545, ,1817, , , ,0, ,M, ,0.0, ,0.00, ,30.16, ,30.19, , 6.4, ,31, ,10.2, ,23, ,330, ,18, ,330, 
14732,20150330,55, ,34, ,45, ,-2, ,25, ,37, ,20, , 0, ,0543, ,1818, ,SN, ,0, ,M, ,  T, ,  T, ,29.85, ,29.87, ,10.6, ,26, ,13.8, ,39, ,320, ,28, ,300, 
14732,20150331,47, ,36, ,42, ,-5, ,29, ,36, ,23, , 0, ,0541, ,1819, ,RA BR, ,0, ,M, ,  T, ,0.14, ,29.79, ,29.82, , 6.2, ,31, ,9.0, ,24, ,290, ,17, ,270, 
14732,20150401,51, ,34, ,43, ,-4, ,20, ,34, ,22, , 0, ,0540, ,1820, , , ,0, ,M, ,0.0, ,0.00, ,29.98, ,30.06, , 9.7, ,32, ,9.9, ,28, ,320, ,20, ,310, 
14732,20150402,63, ,39, ,51, , 3, ,27, ,42, ,14, , 0, ,0538, ,1821, , , ,0, ,M, ,0.0, ,0.00, ,30.10, ,30.10, , 9.0, ,19, ,10.4, ,30, ,230, ,23, ,220, 
14732,20150403,63, ,53, ,58, ,10, ,49, ,54, ,7, , 0, ,0536, ,1822, ,RA BR, ,0, ,M, ,0.0, ,0.04, ,29.78, ,29.78, , 9.2, ,22, ,9.9, ,28, ,220, ,20, ,220, 
14732,20150404,60, ,44, ,52, , 4, ,29, ,41, ,13, , 0, ,0535, ,1823, ,BR HZ, ,0, ,M, ,0.0, ,  T, ,29.75, ,29.84, ,17.2, ,30, ,19.2, ,47, ,290, ,31, ,310, 
14732,20150405,62, ,43, ,53, , 4, ,26, ,40, ,12, , 0, ,0533, ,1824, , , ,0, ,M, ,0.0, ,0.00, ,30.11, ,30.16, , 5.8, ,26, ,11.0, ,38, ,270, ,26, ,260, 
14732,20150406,60, ,39, ,50, , 1, ,37, ,43, ,15, , 0, ,0531, ,1825, , , ,0, ,M, ,0.0, ,0.00, ,30.21, ,30.23, , 6.5, ,06, ,8.2, ,25, ,060, ,16, ,060, 
14732,20150407,57, ,42, ,50, , 1, ,41, ,45, ,15, , 0, ,0530, ,1826, ,RA BR HZ, ,0, ,M, ,0.0, ,0.17, ,30.17, ,30.22, , 9.2, ,06, ,10.4, ,30, ,060, ,22, ,060, 
14732,20150408,46, ,38, ,42, ,-8, ,33, ,38, ,23, , 0, ,0528, ,1827, ,RA DZ BR HZ, ,0, ,M, ,0.0, ,  T, ,30.28, ,30.31, ,15.1, ,06, ,15.4, ,28, ,070, ,22, ,060, 
14732,20150409,44, ,37, ,41, ,-9, ,35, ,38, ,24, , 0, ,0527, ,1828, ,RA DZ BR, ,0, ,M, ,0.0, ,0.01, ,30.25, ,30.28, ,12.1, ,06, ,12.4, ,25, ,050, ,21, ,060, 
14732,20150410,57, ,39, ,48, ,-2, ,43, ,45, ,17, , 0, ,0525, ,1829, ,RA BR HZ, ,0, ,M, ,0.0, ,0.24, ,29.91, ,29.91, , 1.4, ,25, ,8.3, ,23, ,290, ,18, ,260, 
14732,20150411,57, ,45, ,51, , 0, ,31, ,44, ,14, , 0, ,0524, ,1830, , , ,0, ,M, ,0.0, ,0.00, ,29.91, ,30.00, ,15.5, ,30, ,17.1, ,40, ,310, ,31, ,300, 
14732,20150412,65, ,44, ,55, , 4, ,30, ,43, ,10, , 0, ,0522, ,1832, , , ,0, ,M, ,0.0, ,0.00, ,30.24, ,30.29, , 3.6, ,22, ,7.5, ,23, ,160, ,20, ,170, 
14732,20150413,65, ,47, ,56, , 5, ,38, ,48, ,9, , 0, ,0520, ,1833, , , ,0, ,M, ,0.0, ,0.00, ,30.23, ,30.26, , 9.8, ,18, ,9.9, ,30, ,180, ,24, ,170, 
14732,20150414,65, ,53, ,59, , 7, ,41, ,50, ,6, , 0, ,0519, ,1834, ,RA, ,0, ,M, ,0.0, ,  T, ,30.09, ,30.12, , 1.1, ,29, ,6.2, ,28, ,320, ,23, ,330, 
14732,20150415,70, ,51, ,61, , 9, ,23, ,45, ,4, , 0, ,0517, ,1835, , , ,0, ,M, ,0.0, ,0.00, ,30.16, ,30.20, ,10.3, ,35, ,10.8, ,32, ,350, ,24, ,350, 
14732,20150416,62, ,47, ,55, , 3, ,29, ,44, ,10, , 0, ,0516, ,1836, , , ,0, ,M, ,0.0, ,0.00, ,30.36, ,30.39, , 4.4, ,13, ,8.1, ,24, ,060, ,16, ,170, 
14732,20150417,71, ,55, ,63, ,10, ,50, ,56, ,2, , 0, ,0514, ,1837, ,RA, ,0, ,M, ,0.0, ,0.08, ,29.99, ,30.02, , 7.4, ,24, ,9.6, ,22, ,260, ,17, ,260, 
14732,20150418,79, ,54, ,67, ,14, ,40, ,53, ,0, , 2, ,0513, ,1838, , , ,0, ,M, ,0.0, ,0.00, ,29.91, ,29.95, , 2.4, ,31, ,7.4, ,30, ,340, ,22, ,330, 
14732,20150419,61, ,47, ,54, , 1, ,31, ,44, ,11, , 0, ,0511, ,1839, , , ,0, ,M, ,0.0, ,0.00, ,30.16, ,30.20, , 7.2, ,10, ,10.4, ,25, ,160, ,17, ,110, 
14732,20150420,59, ,45, ,52, ,-2, ,48, ,50, ,13, , 0, ,0510, ,1840, ,TSRA RA FG+ BR, ,0, ,M, ,0.0, ,0.95, ,29.80, ,29.77, ,12.1, ,09, ,14.7, ,45, ,120, ,36, ,130, 
14732,20150421,67, ,52, ,60, , 6, ,39, ,50, ,5, , 0, ,0508, ,1841, ,RA BR, ,0, ,M, ,0.0, ,0.23, ,29.60, ,29.65, , 9.0, ,26, ,10.1, ,30, ,260, ,23, ,260, 
14732,20150422,67, ,48, ,58, , 4, ,37, ,48, ,7, , 0, ,0507, ,1842, ,TSRA RA, ,0, ,M, ,0.0, ,0.10, ,29.65, ,29.68, , 8.7, ,21, ,12.4, ,37, ,260, ,28, ,170, 
14732,20150423,50, ,42, ,46, ,-9, ,25, ,37, ,19, , 0, ,0505, ,1843, , , ,0, ,M, ,0.0, ,  T, ,29.70, ,29.75, ,14.9, ,29, ,15.8, ,37, ,300, ,30, ,300, 
14732,20150424,50, ,39, ,45, ,-10, ,21, ,35, ,20, , 0, ,0504, ,1844, , , ,0, ,M, ,0.0, ,0.00, ,29.82, ,29.87, ,18.4, ,32, ,18.9, ,40, ,340, ,29, ,320, 
14732,20150425,60, ,39, ,50, ,-6, ,26, ,39, ,15, , 0, ,0503, ,1845, , , ,0, ,M, ,0.0, ,0.00, ,29.79, ,29.80, , 6.7, ,29, ,10.5, ,25, ,300, ,18, ,310, 
14732,20150426,61, ,45, ,53, ,-3, ,30, ,43, ,12, , 0, ,0501, ,1846, , , ,0, ,M, ,0.0, ,0.00, ,29.64, ,29.68, , 4.8, ,01, ,7.4, ,24, ,340, ,20, ,320, 
14732,20150427,60, ,49, ,55, ,-1, ,33, ,44, ,10, , 0, ,0460, ,1847, , , ,0, ,M, ,0.0, ,0.00, ,29.63, ,29.67, ,12.0, ,32, ,12.3, ,30, ,340, ,24, ,320, 
14732,20150428,72, ,51, ,62, , 5, ,36, ,48, ,3, , 0, ,0459, ,1848, , , ,0, ,M, ,0.0, ,0.00, ,29.70, ,29.74, ,11.6, ,35, ,12.2, ,35, ,350, ,25, ,360, 
14732,20150429,76, ,48, ,62, , 5, ,39, ,50, ,3, , 0, ,0457, ,1849, , , ,0, ,M, ,0.0, ,0.00, ,29.66, ,29.69, , 6.8, ,35, ,11.3, ,31, ,040, ,26, ,050, 
14732,20150430,64, ,47, ,56, ,-1, ,39, ,46, ,9, , 0, ,0456, ,1850, , , ,0, ,M, ,0.0, ,0.00, ,29.75, ,29.81, ,11.2, ,06, ,13.4, ,25, ,050, ,21, ,040,  
14732,20150501,59, ,48, ,54, ,-4, ,40, ,46, ,11, , 0, ,0455, ,1852, , , ,0, ,M, ,0.0, ,0.00, ,29.91, ,29.96, , 4.1, ,10, ,7.7, ,20, ,140, ,16, ,050, 
14732,20150502,69, ,48, ,59, , 1, ,40, ,47, ,6, , 0, ,0453, ,1853, , , ,0, ,M, ,0.0, ,0.00, ,29.94, ,29.98, , 5.2, ,16, ,6.2, ,23, ,170, ,20, ,170, 
14732,20150503,76, ,51, ,64, , 6, ,40, ,51, ,1, , 0, ,0452, ,1854, , , ,0, ,M, ,0.0, ,0.00, ,30.03, ,30.08, , 6.6, ,18, ,6.8, ,29, ,210, ,22, ,170, 
14732,20150504,82, ,54, ,68, , 9, ,45, ,56, ,0, , 3, ,0451, ,1855, , , ,0, ,M, ,0.0, ,0.00, ,30.12, ,30.16, , 7.9, ,18, ,9.9, ,29, ,180, ,23, ,170, 
14732,20150505,81, ,64, ,73, ,14, ,51, ,60, ,0, , 8, ,0450, ,1856, , , ,0, ,M, ,0.0, ,0.00, ,30.13, ,30.17, , 3.2, ,20, ,6.7, ,22, ,220, ,16, ,170, 
14732,20150506,69, ,58, ,64, , 5, ,42, ,53, ,1, , 0, ,0448, ,1857, ,RA, ,0, ,M, ,0.0, ,  T, ,30.20, ,30.24, , 5.3, ,06, ,7.3, ,21, ,050, ,13, ,050, 
14732,20150507,76, ,52, ,64, , 4, ,46, ,54, ,1, , 0, ,0447, ,1858, ,BR, ,0, ,M, ,0.0, ,0.00, ,30.16, ,30.18, , 4.9, ,17, ,6.8, ,21, ,130, ,16, ,180, 
14732,20150508,79, ,54, ,67, , 7, ,53, ,58, ,0, , 2, ,0446, ,1859, ,BR HZ, ,0, ,M, ,0.0, ,0.00, ,30.11, ,30.15, , 5.9, ,16, ,7.3, ,23, ,170, ,17, ,180, 
14732,20150509,64, ,53, ,59, ,-1, ,53, ,55, ,6, , 0, ,0445, ,1860, ,RA DZ FG+ FG BR HZ, ,0, ,M, ,0.0, ,0.01, ,30.22, ,30.27, , 8.1, ,05, ,8.6, ,21, ,040, ,15, ,040, 
14732,20150510,82, ,57, ,70, , 9, ,62, ,65, ,0, , 5, ,0444, ,1901, ,FG+ BR, ,0, ,M, ,0.0, ,0.00, ,30.14, ,30.17, , 6.4, ,19, ,8.1, ,23, ,190, ,18, ,160, 
14732,20150511,83, ,67, ,75, ,14, ,65, ,68, ,0, ,10, ,0443, ,1901, ,RA BR HZ, ,0, ,M, ,0.0, ,  T, ,30.04, ,30.06, , 9.8, ,18, ,10.8, ,29, ,190, ,22, ,170, 
14732,20150512,87, ,63, ,75, ,14, ,57, ,64, ,0, ,10, ,0442, ,1902, ,BR, ,0, ,M, ,0.0, ,  T, ,29.79, ,29.83, ,10.3, ,26, ,12.7, ,41, ,300, ,31, ,310, 
14732,20150513,67, ,54, ,61, , 0, ,40, ,50, ,4, , 0, ,0441, ,1903, , , ,0, ,M, ,0.0, ,0.00, ,30.01, ,30.08, ,16.8, ,32, ,17.1, ,32, ,320, ,26, ,320, 
14732,20150514,72, ,52, ,62, , 0, ,34, ,48, ,3, , 0, ,0440, ,1904, , , ,0, ,M, ,0.0, ,0.00, ,30.29, ,30.33, , 0.9, ,30, ,8.1, ,21, ,350, ,17, ,160, 
14732,20150515,74, ,56, ,65, , 3, ,39, ,51, ,0, , 0, ,0439, ,1905, , , ,0, ,M, ,0.0, ,  T, ,30.24, ,30.26, , 8.1, ,19, ,9.1, ,32, ,180, ,23, ,180, 
14732,20150516,75, ,57, ,66, , 4, ,55, ,60, ,0, , 1, ,0438, ,1906, ,RA BR, ,0, ,M, ,0.0, ,0.27, ,30.11, ,30.15, , 4.1, ,16, ,6.0, ,14, ,170, ,13, ,050, 
14732,20150517,83, ,61, ,72, , 9, ,63, ,67, ,0, , 7, ,0437, ,1907, ,RA BR HZ, ,0, ,M, ,0.0, ,0.02, ,30.08, ,30.11, , 3.0, ,18, ,3.6, ,17, ,170, ,13, ,170, 
14732,20150518,71, ,56, ,64, , 1, ,55, ,57, ,1, , 0, ,0436, ,1908, ,FG+ BR, ,0, ,M, ,0.0, ,0.00, ,30.10, ,30.14, , 8.0, ,06, ,9.3, ,25, ,050, ,22, ,050, 
14732,20150519,82, ,55, ,69, , 6, ,57, ,60, ,0, , 4, ,0435, ,1909, ,BR HZ, ,0, ,M, ,0.0, ,0.01, ,29.88, ,29.89, , 2.9, ,06, ,8.0, ,30, ,320, ,24, ,330, 
14732,20150520,66, ,55, ,61, ,-3, ,39, ,49, ,4, , 0, ,0434, ,1910, , , ,0, ,M, ,0.0, ,0.00, ,29.85, ,29.91, ,15.7, ,32, ,16.0, ,31, ,320, ,25, ,320, 
14732,20150521,62, ,53, ,58, ,-6, ,38, ,48, ,7, , 0, ,0434, ,1910, ,RA, ,0, ,M, ,0.0, ,  T, ,29.93, ,29.95, , 3.5, ,20, ,6.8, ,18, ,180, ,15, ,180, 
14732,20150522,75, ,55, ,65, , 1, ,40, ,52, ,0, , 0, ,0433, ,1911, ,RA, ,0, ,M, ,0.0, ,  T, ,29.88, ,29.95, ,12.3, ,30, ,13.2, ,36, ,270, ,25, ,310, 
14732,20150523,70, ,50, ,60, ,-4, ,31, ,46, ,5, , 0, ,0432, ,1912, , , ,0, ,M, ,0.0, ,0.00, ,30.29, ,30.34, , 5.9, ,29, ,11.7, ,38, ,310, ,26, ,320, 
14732,20150524,81, ,56, ,69, , 4, ,44, ,55, ,0, , 4, ,0431, ,1913, , , ,0, ,M, ,0.0, ,0.00, ,30.26, ,30.29, , 8.5, ,20, ,10.0, ,25, ,170, ,21, ,160, 
14732,20150525,83, ,65, ,74, , 9, ,55, ,62, ,0, , 9, ,0431, ,1914, , , ,0, ,M, ,0.0, ,0.00, ,30.18, ,30.21, , 9.9, ,19, ,10.6, ,25, ,180, ,22, ,170, 
14732,20150526,86, ,67, ,77, ,11, ,58, ,65, ,0, ,12, ,0430, ,1915, , , ,0, ,M, ,0.0, ,0.00, ,30.14, ,30.17, ,10.6, ,20, ,11.7, ,23, ,160, ,18, ,160, 
14732,20150527,81, ,67, ,74, , 8, ,62, ,66, ,0, , 9, ,0429, ,1916, ,TS RA, ,0, ,M, ,0.0, ,0.02, ,30.11, ,30.14, , 9.8, ,18, ,10.0, ,30, ,170, ,25, ,160, 
14732,20150528,84, ,67, ,76, ,10, ,62, ,67, ,0, ,11, ,0429, ,1917, , , ,0, ,M, ,0.0, ,  T, ,30.10, ,30.15, , 4.3, ,16, ,8.5, ,21, ,200, ,17, ,160, 
14732,20150529,82, ,64, ,73, , 7, ,55, ,62, ,0, , 8, ,0428, ,1917, , , ,0, ,M, ,0.0, ,0.00, ,30.22, ,30.25, , 3.7, ,10, ,7.9, ,18, ,160, ,14, ,190, 
14732,20150530,83, ,66, ,75, , 8, ,62, ,66, ,0, ,10, ,0428, ,1918, , , ,0, ,M, ,0.0, ,0.00, ,30.11, ,30.13, ,11.9, ,18, ,12.3, ,30, ,160, ,25, ,160, 
14732,20150531,86, ,57, ,72, , 5, ,62, ,66, ,0, , 7, ,0427, ,1919, ,TSRA RA BR, ,0, ,M, ,0.0, ,1.28, ,30.01, ,30.05, , 4.0, ,15, ,12.2, ,30, ,050, ,25, ,050,  
14732,20150601,58, ,51, ,55, ,-13, ,53, ,54, ,10, , 0, ,0427, ,1920, ,RA DZ BR, ,0, ,M, ,0.0, ,0.77, ,30.08, ,30.12, ,16.2, ,05, ,16.3, ,31, ,070, ,23, ,060, 
14732,20150602,56, ,50, ,53, ,-15, ,49, ,51, ,12, , 0, ,0426, ,1920, ,RA DZ BR, ,0, ,M, ,0.0, ,0.35, ,30.10, ,30.14, , 8.9, ,04, ,9.4, ,24, ,050, ,21, ,050, 
14732,20150603,69, ,53, ,61, ,-7, ,49, ,53, ,4, , 0, ,0426, ,1921, , , ,0, ,M, ,0.0, ,  T, ,30.16, ,30.21, , 6.0, ,10, ,8.7, ,20, ,050, ,15, ,170, 
14732,20150604,65, ,54, ,60, ,-9, ,48, ,53, ,5, , 0, ,0426, ,1922, ,RA, ,0, ,M, ,0.0, ,  T, ,30.21, ,30.24, , 8.2, ,07, ,10.4, ,25, ,060, ,17, ,050, 
14732,20150605,68, ,56, ,62, ,-7, ,51, ,55, ,3, , 0, ,0425, ,1923, ,RA, ,0, ,M, ,0.0, ,  T, ,30.04, ,30.04, , 6.0, ,05, ,6.6, ,20, ,050, ,13, ,050, 
14732,20150606,74, ,59, ,67, ,-2, ,50, ,58, ,0, , 2, ,0425, ,1923, ,RA BR, ,0, ,M, ,0.0, ,0.55, ,29.88, ,29.94, , 7.8, ,01, ,9.3, ,33, ,360, ,26, ,360, 
14732,20150607,73, ,57, ,65, ,-4, ,43, ,54, ,0, , 0, ,0425, ,1924, , , ,0, ,M, ,0.0, ,0.00, ,30.10, ,30.14, , 5.4, ,17, ,10.2, ,28, ,170, ,21, ,170, 
14732,20150608,77, ,62, ,70, , 1, ,59, ,63, ,0, , 5, ,0424, ,1924, ,RA, ,0, ,M, ,0.0, ,0.04, ,29.91, ,29.91, ,12.8, ,18, ,13.4, ,31, ,170, ,24, ,180, 
14732,20150609,85, ,67, ,76, , 6, ,61, ,66, ,0, ,11, ,0424, ,1925, ,RA, ,0, ,M, ,0.0, ,0.01, ,29.66, ,29.70, , 6.5, ,23, ,11.7, ,31, ,290, ,23, ,260, 
14732,20150610,82, ,66, ,74, , 4, ,57, ,64, ,0, , 9, ,0424, ,1926, , , ,0, ,M, ,0.0, ,0.00, ,29.81, ,29.85, , 4.7, ,22, ,8.9, ,24, ,180, ,20, ,160, 
14732,20150611,92, ,72, ,82, ,12, ,64, ,70, ,0, ,17, ,0424, ,1926, , , ,0, ,M, ,0.0, ,0.00, ,29.83, ,29.87, , 9.2, ,23, ,10.0, ,23, ,260, ,20, ,270, 
14732,20150612,88, ,71, ,80, ,10, ,64, ,70, ,0, ,15, ,0424, ,1927, , , ,0, ,M, ,0.0, ,0.00, ,29.87, ,29.89, , 2.4, ,11, ,8.8, ,23, ,170, ,18, ,160, 
14732,20150613,84, ,72, ,78, , 7, ,59, ,67, ,0, ,13, ,0424, ,1927, ,RA, ,0, ,M, ,0.0, ,  T, ,29.86, ,29.92, , 6.8, ,32, ,10.6, ,26, ,360, ,22, ,310, 
14732,20150614,87, ,67, ,77, , 6, ,58, ,65, ,0, ,12, ,0424, ,1928, ,RA, ,0, ,M, ,0.0, ,0.26, ,29.99, ,30.03, , 4.8, ,15, ,8.4, ,23, ,170, ,20, ,170, 
14732,20150615,81, ,63, ,72, , 1, ,65, ,66, ,0, , 7, ,0424, ,1928, ,RA BR HZ, ,0, ,M, ,0.0, ,0.55, ,29.92, ,29.95, , 6.8, ,08, ,10.6, ,28, ,050, ,22, ,050, 
14732,20150616,79, ,64, ,72, , 0, ,64, ,66, ,0, , 7, ,0424, ,1928, ,RA HZ, ,0, ,M, ,0.0, ,0.34, ,29.85, ,29.89, , 0.9, ,32, ,7.6, ,22, ,330, ,16, ,330, 
14732,20150617,79, ,66, ,73, , 1, ,58, ,63, ,0, , 8, ,0424, ,1929, , , ,0, ,M, ,0.0, ,  T, ,30.03, ,30.09, , 2.7, ,12, ,9.3, ,22, ,060, ,15, ,190, 
14732,20150618,71, ,65, ,68, ,-5, ,58, ,62, ,0, , 3, ,0424, ,1929, ,RA, ,0, ,M, ,0.0, ,  T, ,30.02, ,30.03, , 7.9, ,18, ,8.9, ,20, ,180, ,15, ,170, 
